UT,TIME,ALTITUDE,APOAPSIS,PERIAPSIS,INCLINATION,S VELOCITY,O VELOCITY,THRUST,MASS,IDEAL PITCH,PITCH,GRAVITY,STAGE,S1 FUEL,S1 OX,S2 FUEL,S2 OX
3006541.54176011,0,75.7188711038325,80.6709902439034,0,0.0972167729525202,0.93909002398612,174.967252144468,281.331146240234,14.7442350387573,89.8962349300864,89.957272255692,9.80752384760724,7,99.9%,99.9%,100%,100%
3006541.60176011,0.0600000000558794,75.7890960000223,80.8202273936477,0,0.0972167736684224,1.44696169114182,174.969935447573,281.331390380859,14.7394618988037,89.8960882790653,89.9574444850575,9.80752216605267,7,99.8%,99.8%,100%,100%
3006541.64176011,0.100000000093132,75.8581504271133,80.9521649992093,0,0.0972167741043389,1.81952381815279,174.97245600414,281.331756591797,14.7346878051758,89.8958197609944,89.9583507642311,9.80751859749035,5,99.7%,99.7%,100%,100%
3006541.70176011,0.140000000130385,75.9896820626454,81.204726495198,0,0.0972167749977649,2.37848601003763,174.977353200153,281.332489013672,14.7275276184082,89.8955939230776,89.9596827109472,9.80751560937665,5,99.6%,99.6%,100%,100%
3006541.74176011,0.200000000186265,76.0959611246362,81.4090689978329,0,0.0972167754139301,2.74965812929579,174.981711413029,281.333068847656,14.7227544784546,89.8953311970028,89.9616008459684,9.80751213537235,5,99.5%,99.5%,100%,100%
3006541.78176011,0.240000000223517,76.2170418028254,81.6418719250942,0,0.0972167756202288,3.30391033894115,174.989952819756,281.334136962891,14.715594291687,89.8948684904503,89.9653072871478,9.8075060175899,5,99.4%,99.4%,100%,100%
3006541.84176011,0.300000000279397,76.4263379756594,82.0445162660908,0,0.0972167757282744,3.67262342833671,174.99654598206,281.334930419922,14.7108201980591,89.8945141933722,89.9682429426603,9.80750133616765,5,99.3%,99.3%,100%,100%
3006541.88176011,0.34000000031665,76.5842985768104,82.3486862655263,0,0.0972167757065487,4.04116267341766,175.004005669781,281.335845947266,14.7060470581055,89.8939135416472,89.9731675682134,9.80749341020552,5,99.3%,99.3%,100%,100%
3006541.94176011,0.380000000353903,76.8490003769984,82.8606817482505,0,0.0972167778552432,4.5979530773465,175.016798039414,281.337341308594,14.6988868713379,89.8934648377522,89.9767340709725,9.80748752040184,5,99.1%,99.1%,100%,100%
3006541.98176011,0.440000000409782,77.0441471823724,83.2399507594528,0,0.0972167812844791,4.9723000136131,175.026476734788,281.338470458984,14.69411277771,89.8929772061664,89.9804699698297,9.80748114155577,5,99.1%,99.1%,100%,100%
3006542.02176011,0.480000000447035,77.2542656073347,83.6484626666643,0,0.097216781838912,5.53339615212138,175.0426825754,281.34033203125,14.6869525909424,89.8921753531937,89.986197025532,9.80747065587744,5,99%,99%,100%,100%
3006542.08176012,0.540000000502914,77.5974895426771,84.3160171430791,0,0.0972167713478848,5.90746107008909,175.054594857461,281.341674804688,14.6821794509888,89.8915936922446,89.989925337976,9.80746305425411,5,98.9%,98.9%,100%,100%
3006542.12176012,0.580000000540167,77.8450270610629,84.7981745016295,0,0.0972167656278395,6.28219237877956,175.067385576124,281.343109130859,14.6774053573608,89.8906494529119,89.9948344220617,9.80745073333391,5,98.8%,98.8%,100%,100%
3006542.18176012,0.62000000057742,78.2444771761075,85.5772232880117,0,0.0972167994407819,6.84525992861365,175.088201665024,281.345428466797,14.6702451705933,89.8899721414868,89.9959014735049,9.80744190599903,5,98.7%,98.7%,100%,100%
3006542.22176012,0.680000000633299,78.5295592510374,86.1337019192288,0,0.0972168611241263,7.22101008637003,175.103158868166,281.347076416016,14.6654720306396,89.889256668961,89.9936835075553,9.80743258746792,5,98.6%,98.6%,100%,100%
3006542.26176012,0.720000000670552,78.8296767139109,86.7198533128249,0,0.0972170324119917,7.78502046442344,175.127269922759,281.349731445313,14.6583118438721,89.8881119234894,89.9883271824901,9.80741768808029,5,98.5%,98.5%,100%,100%
3006542.32176012,0.780000000726432,79.3080638357205,87.6547465851763,0,0.0972171811474112,8.16125570116487,175.144480378273,281.351623535156,14.6535377502441,89.8873010401048,89.9844758734428,9.80740714041058,5,98.4%,98.4%,100%,100%
3006542.36176012,0.820000000763685,79.6458072675159,88.3151669601211,0,0.0972173543580452,8.53768203681838,175.162588037725,281.353576660156,14.6487646102905,89.8860130194269,89.9787230846567,9.80739039607445,5,98.4%,98.4%,100%,100%
3006542.42176012,0.860000000800937,80.1806659018621,89.3616387941875,0,0.0972176785443225,9.10270723395648,175.191402411966,281.356719970703,14.6416044235229,89.8851064644075,89.9749742639128,9.80737861769716,5,98.3%,98.3%,100%,100%
3006542.46176012,0.920000000856817,80.5560816482175,90.0965733439662,0,0.0972179464715019,9.47965998072411,175.211702191854,281.358917236328,14.636830329895,89.8841615485578,89.9712949111177,9.80736634653398,5,98.2%,98.2%,100%,100%
3006542.50176012,0.96000000089407,80.9465827698587,90.8613739748253,0,0.0972184317881705,10.0454853368689,175.243773867079,281.36238861084,14.6296701431274,89.8826721659165,89.9659584438475,9.80734701523747,5,98.1%,98.1%,100%,100%
3006542.56176012,1.02000000094995,81.5606341254897,92.0646267418051,0,0.0972188119950494,10.4229536464794,175.266233224962,281.364807128906,14.6248970031738,89.8816311941891,89.962518612943,9.80733351097775,5,98%,98%,100%,100%
3006542.60176012,1.0600000009872,81.9888823106885,92.9042012845166,0,0.0972192373440672,10.8006188083537,175.289553710096,281.367309570313,14.6201238632202,89.8799975720584,89.9575456979304,9.80731232878357,5,97.9%,97.9%,100%,100%
3006542.66176012,1.10000000102445,82.6595921645639,94.2197489908431,0,0.0972199509003119,11.3674861406687,175.32614355004,281.371246337891,14.6129627227783,89.8788603227261,89.954340073733,9.80729758979935,5,97.8%,97.8%,100%,100%
3006542.70176012,1.16000000108033,83.1256356230006,95.1342757033417,0,0.0972204722654745,11.7456381050085,175.351610020863,281.373992919922,14.6081895828247,89.8776845026671,89.9512157727763,9.80728235649278,5,97.7%,97.7%,100%,100%
3006542.74176012,1.20000000111759,83.6068099841941,96.0788306295872,0,0.0972213156123252,12.3132221080604,175.39141871352,281.378257751465,14.6010293960571,89.8758483708975,89.9466551195475,9.80725857913855,5,97.7%,97.6%,100%,100%
3006542.80176012,1.26000000117347,84.3569613684667,97.5520323828096,0,0.0972219114055601,12.6918489878709,175.419029089798,281.381225585938,14.5962562561035,89.874575958365,89.9437011853991,9.80724210899514,5,97.5%,97.5%,100%,100%
3006542.84176012,1.30000000121072,84.8760001654737,98.5717775201192,0,0.0972225281051651,13.0706569514395,175.447498094468,281.38427734375,14.5914821624756,89.8725947834592,89.9394008180164,9.80721647516516,5,97.5%,97.5%,100%,100%
3006542.90176012,1.34000000124797,85.6829798538238,100.157883614069,0,0.0972233822012502,13.6392119305852,175.491796895715,281.389007568359,14.584321975708,89.8712255782105,89.9366020564444,9.80719876661812,5,97.4%,97.4%,100%,100%
3006542.94176012,1.40000000130385,86.2399244969711,101.252983325161,0,0.097223860849048,14.0184734409297,175.522389688785,281.392280578613,14.5795488357544,89.8698175928676,89.9338259886955,9.80718056235373,5,97.3%,97.3%,100%,100%
3006542.98176012,1.4400000013411,86.8120462456718,102.378270899411,0,0.0972245301164364,14.5877000404193,175.569885431307,281.397369384766,14.5723886489868,89.8676328318217,89.929731291085,9.80715232585879,5,97.2%,97.2%,100%,100%
3006543.04176012,1.50000000139698,87.6987003505928,104.122857401264,0,0.097224967929974,14.9674041126631,175.602624306584,281.40087890625,14.5676145553589,89.8661277547698,89.9270256190368,9.80713288112035,5,97.1%,97.1%,100%,100%
3006543.08176012,1.54000000143424,88.3087912740884,105.323715953855,0,0.0972254566204562,15.3472779865855,175.636228807397,281.404472351074,14.5628414154053,89.8637972186913,89.9230264434606,9.80710278302474,5,97%,97%,100%,100%
3006543.14176012,1.58000000147149,89.2524320322555,107.181770480587,0,0.0972263425932931,15.9174070976589,175.688264723726,281.410034179688,14.5556812286377,89.862194866525,89.9204039030248,9.80708209656363,5,96.9%,96.9%,100%,100%
3006543.18176012,1.64000000152737,89.900538443937,108.458348822198,0,0.0972270603213594,16.2977009472024,175.724042174017,281.413848876953,14.5509071350098,89.8605535515143,89.9178305653173,9.80706091297314,5,96.8%,96.8%,100%,100%
3006543.22176012,1.68000000156462,90.5638610075694,109.765253487043,0,0.0972279916004635,16.8684498285438,175.779306507864,281.419738769531,14.5437469482422,89.8580184589148,89.9140415799998,9.80702820522751,5,96.8%,96.7%,100%,100%
3006543.28176012,1.7400000016205,91.5873873954406,111.782529268879,0,0.0972285452154507,17.2491522082259,175.817222133673,281.423797607422,14.5389738082886,89.8562796052257,89.9115334271209,9.80700577803203,5,96.7%,96.7%,100%,100%
3006543.32176012,1.78000000165775,92.2887800858589,113.16535502125,0,0.0972290799513189,17.6300141208574,175.855997026269,281.427917480469,14.5341997146606,89.8535980718379,89.907847314623,9.80697120386487,5,96.6%,96.6%,100%,100%
3006543.38176012,1.82000000169501,93.3694405413698,115.296601372538,0,0.097229877477348,18.2015964928738,175.915772298444,281.434295654297,14.5270395278931,89.851761512521,89.9054190165851,9.80694753183089,5,96.5%,96.5%,100%,100%
